Día de la Semana (lanzamiento),Director,Género,Película,Día Lanzamiento,Estudio,Venta Ajustada ($mill),Presupuesto ($mill),Venta ($mill),Rating IMDB,Rating MovieLens,Venta Fuera de Estados Unidos ($mill),Venta Fuera de Estados Unidos %,Utilidad ($mill),Utilidad %,Duracion (min),Venta USA ($mill),Venta % USA
Viernes,Brad Bird,acción,Tomorrowland,22-05-15,Buena Vista Studios,202.1,170,202.1,6.7,3.26,111.9,55.4,32.1,18.9,130,90.2,44.6
Viernes,Scott Waugh,acción,Need for Speed,14-03-14,Buena Vista Studios,204.2,66,203.3,6.6,2.97,159.7,78.6,137.3,208,132,43.6,21.4
Viernes,Patrick Hughes,acción,The Expendables 3,15-08-14,Lionsgate,207.1,100,206.2,6.1,2.93,166.9,80.9,106.2,106.2,126,39.3,19.1
Viernes,"Phil Lord, Chris Miller",comedia,21 Jump Street,16-03-12,Sony,208.8,42,201.6,7.2,3.62,63.1,31.3,159.6,380,109,138.4,68.7
Viernes,Roland Emmerich,acción,White House Down,28-06-13,Sony,209.7,150,205.4,8,3.65,132.3,64.4,55.4,36.9,131,73.1,35.6
Viernes,David Ayer,acción,Fury,17-10-14,Sony,212.8,80,211.8,5.8,2.85,126,59.5,131.8,164.8,134,85.8,40.5
Jueves,Rob Marshall,aventura,Into the Woods,25-12-14,Buena Vista Studios,213.9,50,212.9,6,3.16,84.9,39.9,162.9,325.8,125,128,60.1
Viernes,Daniel Espinosa,acción,Safe House,10-02-12,Universal,215.5,85,208.1,6.8,3.45,81.7,39.3,123.1,144.8,115,126.4,60.7
Viernes,Gary Shore,acción,Dracula Untold,10-10-14,Universal,216.5,70,215.5,6.3,2.92,159.2,73.9,145.5,207.9,92,56.3,26.1
Viernes,"Henry Joost, Ariel Schulman",terror,Paranormal Activity 3,21-10-11,Paramount Pictures,218.8,5,207,5.9,2.9,103,49.8,202,4040,84,104,50.2
Viernes,Eric Brevig,animación,Yogi Bear,17-12-10,WB,219.9,80,201.6,4.5,2.17,101.3,50.3,121.6,152,80,100.2,49.7
Viernes,Morten Tyldum,biografía,The Imitation Game,28-11-14,Weinstein Company,221,15,220,8.1,4,128.9,58.6,205,1366.7,114,91.1,41.4
Jueves,Bryan Singer,biografía,Valkyrie,25-12-08,UA Entertainment,221.2,75,200.3,7.1,3.44,117.2,58.5,125.3,167.1,121,83.1,41.5
Viernes,Seth Gordon,comedia,Horrible Bosses,08-07-11,WB/New Line,221.6,37,209.6,6.9,3.37,92.1,43.9,172.6,466.5,98,117.5,56.1
Viernes,Ryan Murphy,drama,Eat Pray Love,13-08-10,Sony,223.1,60,204.6,5.6,2.84,124,60.6,144.6,241,133,80.6,39.4
Viernes,Paul Greengrass,drama,Captain Phillips,11-10-13,Sony,223.4,55,218.8,7.9,3.84,111.7,51,163.8,297.8,134,107.1,49
Viernes,Hayao Miyazaki,animación,Ponyo,14-08-09,Buena Vista Studios,223.7,34,201.8,7.7,3.82,186.7,92.5,167.8,493.5,101,15.1,7.5
